test_num,delta,total_demands,individual_rides,shared_rides,pct_shared,avg_passengers_shared,avg_efficiency
1,5.00,100,100,0,0.00,0.00,5382.4448
2,5.96,100,100,0,0.00,0.00,4988.1873
3,6.92,100,100,0,0.00,0.00,5170.9311
4,7.88,100,96,2,2.04,2.00,4791.8733
5,8.84,100,98,1,1.01,2.00,4655.7583
6,9.80,100,100,0,0.00,0.00,4870.0467
7,10.76,100,98,1,1.01,2.00,5311.9772
8,11.72,100,98,1,1.01,2.00,5726.5461
9,12.68,100,100,0,0.00,0.00,5235.1532
10,13.64,100,100,0,0.00,0.00,4861.1812
11,14.60,100,98,1,1.01,2.00,5001.8903
12,15.56,100,94,3,3.09,2.00,5460.1099
13,16.52,100,98,1,1.01,2.00,4803.9967
14,17.47,100,100,0,0.00,0.00,5768.4428
15,18.43,100,96,2,2.04,2.00,5419.4197
16,19.39,100,98,1,1.01,2.00,5354.2151
17,20.35,100,98,1,1.01,2.00,5400.2458
18,21.31,100,92,4,4.17,2.00,5056.6744
19,22.27,100,96,2,2.04,2.00,5280.1330
20,23.23,100,100,0,0.00,0.00,5595.1011
21,24.19,100,100,0,0.00,0.00,5380.9309
22,25.15,100,100,0,0.00,0.00,5311.9060
23,26.11,100,98,1,1.01,2.00,5370.5853
24,27.07,100,96,2,2.04,2.00,5360.3784
25,28.03,100,98,1,1.01,2.00,5277.0110
26,28.99,100,94,3,3.09,2.00,5234.6235
27,29.95,100,100,0,0.00,0.00,5047.2486
28,30.91,100,94,3,3.09,2.00,5211.1012
29,31.87,100,100,0,0.00,0.00,5132.7175
30,32.83,100,98,1,1.01,2.00,5032.5916
31,33.79,100,94,3,3.09,2.00,5490.6160
32,34.75,100,90,5,5.26,2.00,5511.9947
33,35.71,100,92,4,4.17,2.00,5315.7124
34,36.67,100,90,5,5.26,2.00,5252.8146
35,37.63,100,94,3,3.09,2.00,5256.0729
36,38.59,100,96,2,2.04,2.00,5554.9639
37,39.55,100,96,2,2.04,2.00,5130.2715
38,40.51,100,92,4,4.17,2.00,5390.0603
39,41.46,100,98,1,1.01,2.00,5456.1588
40,42.42,100,94,3,3.09,2.00,5211.4994
41,43.38,100,94,3,3.09,2.00,5047.6090
42,44.34,100,92,4,4.17,2.00,5507.1320
43,45.30,100,100,0,0.00,0.00,5396.1843
44,46.26,100,90,5,5.26,2.00,5199.1742
45,47.22,100,90,5,5.26,2.00,5226.4852
46,48.18,100,88,6,6.38,2.00,5521.2014
47,49.14,100,88,6,6.38,2.00,5149.7591
48,50.10,100,94,3,3.09,2.00,5034.7514
49,51.06,100,92,4,4.17,2.00,5818.9474
50,52.02,100,98,1,1.01,2.00,5209.4982
51,52.98,100,90,5,5.26,2.00,5401.6697
52,53.94,100,88,6,6.38,2.00,5427.1256
53,54.90,100,86,7,7.53,2.00,5658.5000
54,55.86,100,98,1,1.01,2.00,5306.5879
55,56.82,100,92,4,4.17,2.00,4885.0800
56,57.78,100,92,4,4.17,2.00,5294.9267
57,58.74,100,92,4,4.17,2.00,5692.7077
58,59.70,100,94,3,3.09,2.00,5289.7784
59,60.66,100,94,3,3.09,2.00,5126.9514
60,61.62,100,92,4,4.17,2.00,5501.6093
61,62.58,100,92,4,4.17,2.00,5320.4885
62,63.54,100,90,5,5.26,2.00,5707.0956
63,64.49,100,94,3,3.09,2.00,5288.6004
64,65.45,100,96,2,2.04,2.00,4789.3369
65,66.41,100,92,4,4.17,2.00,5276.8290
66,67.37,100,90,5,5.26,2.00,5101.8582
67,68.33,100,94,3,3.09,2.00,5266.3001
68,69.29,100,92,4,4.17,2.00,5371.1165
69,70.25,100,87,6,6.45,2.17,5715.5630
70,71.21,100,86,7,7.53,2.00,5107.1866
71,72.17,100,96,2,2.04,2.00,4968.4277
72,73.13,100,90,5,5.26,2.00,5253.5551
73,74.09,100,90,5,5.26,2.00,5310.2162
74,75.05,100,80,10,11.11,2.00,5180.5146
75,76.01,100,94,3,3.09,2.00,5291.5257
76,76.97,100,88,6,6.38,2.00,5455.6254
77,77.93,100,92,4,4.17,2.00,4932.3028
78,78.89,100,92,4,4.17,2.00,5044.3548
79,79.85,100,94,3,3.09,2.00,5175.0865
80,80.81,100,82,9,9.89,2.00,5847.1229
81,81.77,100,90,5,5.26,2.00,5169.1424
82,82.73,100,94,3,3.09,2.00,5174.4208
83,83.69,100,94,3,3.09,2.00,5346.8699
84,84.65,100,92,4,4.17,2.00,5115.1402
85,85.61,100,86,7,7.53,2.00,4838.3058
86,86.57,100,90,5,5.26,2.00,5118.9959
87,87.53,100,90,5,5.26,2.00,5284.6124
88,88.48,100,88,6,6.38,2.00,5284.6833
89,89.44,100,80,10,11.11,2.00,5547.2044
90,90.40,100,94,3,3.09,2.00,4976.0365
91,91.36,100,94,3,3.09,2.00,5191.4521
92,92.32,100,90,5,5.26,2.00,5560.6787
93,93.28,100,94,3,3.09,2.00,4736.2568
94,94.24,100,96,2,2.04,2.00,5607.5906
95,95.20,100,92,4,4.17,2.00,5294.0114
96,96.16,100,82,9,9.89,2.00,5593.8090
97,97.12,100,90,5,5.26,2.00,5239.0116
98,98.08,100,94,3,3.09,2.00,5564.8863
99,99.04,100,94,3,3.09,2.00,5479.1641
100,100.00,100,88,6,6.38,2.00,5582.9071
